Time,Angle
0,303.75
1,304.10
1,304.10
2,304.10
3,304.10
3,304.10
4,304.10
5,304.10
16,304.10
27,302.34
39,298.83
50,294.61
61,290.74
72,286.17
85,281.95
96,277.73
107,273.52
119,268.59
132,264.02
144,259.10
157,254.18
170,249.26
182,244.69
194,239.77
206,235.20
220,230.27
232,225.70
244,221.13
257,216.21
269,211.64
282,206.72
295,202.15
307,197.23
319,192.30
331,187.73
344,182.81
357,178.24
369,173.32
382,168.40
394,163.83
406,159.26
419,153.98
432,149.41
444,145.20
456,141.68
469,137.81
482,134.65
494,131.84
507,129.38
519,126.91
531,124.80
543,122.70
557,121.29
569,120.59
581,119.18
594,118.48
606,117.77
619,117.42
631,117.42
644,117.07
656,116.72
668,117.07
682,116.72
694,116.72
706,116.37
718,116.37
731,116.37
743,116.37
756,116.37
769,116.37
781,116.37
793,116.37
806,116.37
819,116.37
831,116.37
843,116.37
856,116.37
868,116.37
881,116.02
894,116.02
906,116.02
918,116.02
930,116.02
943,116.02
956,116.02
968,116.02
981,115.66
993,116.02
1005,115.66
1020,116.02
1033,116.02
1046,116.02
1059,115.66
1073,116.02
1087,116.02
1100,116.02
1114,116.02
1127,116.02
1140,115.66
1155,116.02
1168,116.02
1181,116.02
1195,116.02
1208,116.02
1222,116.02
1236,116.02
1249,116.02
1262,116.02
1276,116.02
1290,116.02
1303,116.02
1317,116.02
1330,116.37
1344,117.07
1357,116.02
1371,116.02
1384,116.02
1397,116.02
1412,116.02
1425,116.02
1438,116.02
1452,115.66
1465,116.02
1479,116.02
1493,116.02
1506,116.02
